# This hosts file is brought to you by Mitchell Krog
# You are free to copy and distribute this file for non-commercial uses,
# as long the original URL and attribution is included.
# Please forward any additions, corrections or comments by logging an issue at
##### Version Information #
###################################################
### Version: V1.2021.01.5816
##### Version Information ##
# Use this file to prevent your computer or server from connecting to selected
# internet hosts. This is an easy and effective way to protect you from
# many types of spyware, adware, malware, click-jacking and porn sites and reduces
# bandwidth use.
# The file should be named "hosts" NOT "hosts.txt"
# For Linux based Operating systems place this file at "/etc/hosts"
# For Windows based systems this is placed either at
# C:\windows\system32\drivers\etc\hosts
# or C:\Windows\System32\drivers\etc\hosts
127.0.0.1 localhost #[IPv4]
::1 localhost #[IPv6]
# START HOSTS LIST ### DO NOT EDIT THIS LINE AT ALL ###
0.0.0.0 00005ik.rcomhost.com
0.0.0.0 000owamail0.000webhostapp.com
0.0.0.0 01ad681.netsolhost.com
0.0.0.0 023pc.cn
0.0.0.0 027tzx.com
0.0.0.0 028cdxyk.com
0.0.0.0 028happy.com
0.0.0.0 03284db.netsolhost.com
0.0.0.0 03991ce.netsolhost.com
0.0.0.0 0551gx.cn
0.0.0.0 0668.com
0.0.0.0 0791longyao.com
0.0.0.0 0793mobile.com
0.0.0.0 0q2.sitey.me
0.0.0.0 1000i.co
0.0.0.0 1000lashes.com
0.0.0.0 101natural.com
0.0.0.0 101satcom.com
0.0.0.0 103.27.52.92
0.0.0.0 103.43.75.87
0.0.0.0 104.131.182.103
0.0.0.0 107.170.20.33
0.0.0.0 107.181.174.34
0.0.0.0 107.181.187.228
0.0.0.0 108.174.196.88
0.0.0.0 109.108.129.43
0.0.0.0 109.234.35.123
0.0.0.0 109.234.35.128
0.0.0.0 109.234.35.75
0.0.0.0 109.237.111.168
0.0.0.0 109.248.222.47
0.0.0.0 109.73.234.241
0.0.0.0 10minutesto1.net
0.0.0.0 10presidentesparavoce.com.br
0.0.0.0 11011020.web.fc2.com
0.0.0.0 111.86.142.67
0.0.0.0 112.213.84.94
0.0.0.0 1140746.net
0.0.0.0 117.239.70.228
0.0.0.0 121.83.206.211
